id,origin,destination,start_time,income,kind
0,0,0,60,417.8295094645922,Human
1,0,0,39,419.7646265090227,Human
2,0,0,17,437.8567856598078,Human
3,0,0,50,449.0833195935783,Human
4,0,0,64,513.3463032142733,Human
5,0,0,26,522.2875039790788,Human
6,0,0,69,541.9839687696077,Human
7,0,0,72,567.550811201735,Human
8,0,0,52,571.0932451196882,Human
9,0,0,82,572.7967315704935,Human
10,0,0,44,588.8906571209208,Human
11,0,0,68,597.1498506777683,Human
12,0,0,44,610.4868582393152,Human
13,0,0,41,614.9217871931492,Human
14,0,0,47,627.4062491148882,Human
15,0,0,41,639.9143284368583,Human
16,0,0,59,649.7132696839626,Human
17,0,0,23,720.4688823460104,Human
18,0,0,32,727.2326469992182,Human
19,0,0,68,736.5379020629116,Human
20,0,0,47,742.4887258523852,Human
21,0,0,65,743.7818724069466,Human
22,0,0,37,753.5670156580491,Human
23,0,0,62,753.7709081553346,Human
24,0,0,62,767.6170681366935,Human
25,0,0,62,802.5586880039084,Human
26,0,0,41,806.3598325453933,Human
27,0,0,52,832.3173438658397,Human
28,0,0,24,844.3352662229099,Human
29,0,0,80,845.7864251007381,Human
30,0,0,33,850.3216016091212,Human
31,0,0,57,859.2772315809713,Human
32,0,0,56,861.805442805673,Human
33,0,0,47,870.7377108213431,Human
34,0,0,52,877.2934597877683,Human
35,0,0,51,877.6907461205365,Human
36,0,0,58,881.2906222289953,Human
37,0,0,39,904.859336063587,Human
38,0,0,56,905.8209551718018,Human
39,0,0,17,913.5589076746268,Human
40,0,0,35,931.9887487728153,Human
41,0,0,70,938.3100494872764,Human
42,0,0,42,961.7772661313056,Human
43,0,0,48,968.7072844723906,Human
44,0,0,61,978.4447105201264,Human
45,0,0,62,979.5720138781878,Human
46,0,0,87,985.8695826897422,Human
47,0,0,57,1025.7249596144625,Human
48,0,0,62,1040.734547163155,Human
49,0,0,46,1059.8377785859489,Human
50,0,0,61,1062.4074567339185,Human
51,0,0,49,1076.386102050743,Human
52,0,0,56,1089.3140785512585,Human
53,0,0,36,1100.389953660579,Human
54,0,0,54,1104.4445206976068,Human
55,0,0,64,1117.0806745336297,Human
56,0,0,24,1129.1321270070612,Human
57,0,0,70,1141.5133047894662,Human
